,Story,Sentence,Type
25,חברו של האדם - דמיטרי דנילוב,"אך האדם אינו נמנה עם המעשנים, ולכן הוא לא מעשן, אלא פשוט מביט בחלון הפתוח",NotDescriptive
26,חברו של האדם - דמיטרי דנילוב,"בוטקה קטן ירוק עם שלט ""מעבר 58""",Descriptive
27,חברו של האדם - דמיטרי דנילוב,על הקרקע ניתן להבחין בשרידי מסד לֶבֶנִים ובמשטחי עץ ספוגי מים הנערמים מסביב.,Descriptive
28,חברו של האדם - דמיטרי דנילוב,האדם חש כמעט בטוב. ,NotDescriptive
29,חברו של האדם - דמיטרי דנילוב,חיוך אווילי קמעה מתפשט על פניו,Descriptive
30,חברו של האדם - דמיטרי דנילוב,"אסופת מוסכים משונים על יד רציף ""אגם-לָבָנְסְקִי""",Descriptive
31,חברו של האדם - דמיטרי דנילוב,שמיים שחשכו כמעט לגמרי,Descriptive
32,חברו של האדם - דמיטרי דנילוב,"ניתן היה להגיע לאגמים בדרך פשוטה בהרבה — באוטובוס מפיסגובו, אך משום מה האדם מעדיף את הדרך הזאת: תחילה לגלותין ולאחר מכן",NotDescriptive
33,חברו של האדם - דמיטרי דנילוב,פיסת נייר עם אותיות ומספרים מודפסים וכתובים בכתב יד,Descriptive
34,חברו של האדם - דמיטרי דנילוב,אורות הרחוקים של העיר ליוברצי,Descriptive
35,חברו של האדם - דמיטרי דנילוב,"לכאורה, אין לו שום סיבה לחייך: גרר את עצמו לחור נידח, בזבז המון זמן, ירד על בקבוק כמעט שלם של וודקה, וכו'.  בִמקום ש…  כאילו…",NotDescriptive
36,חברו של האדם - דמיטרי דנילוב,"המוסכים הגוציים לא מתגודדים, בניגוד לנהוג בקרב המוסכים בשטחה של הפדרציה רוסית, אלא מתבודדים זה בקרבתו של זה.",Descriptive
37,חברו של האדם - דמיטרי דנילוב,"תחנת ביניים ""קילומטר 18"", יער, בתים.  ושוב לקטים יורדים מן הרכבת",Descriptive
38,חברו של האדם - דמיטרי דנילוב,"האדם עובר את בניין ההנהלה המחוזית, חוצה את כיכר הסובייטים, ברחוב לנין הוא חולף על יד בתי עץ ישנים",Descriptive
39,חברו של האדם - דמיטרי דנילוב,"עם אותו החיוך הוא סוגר את החלון, מכבה את האור במטבח, הולך לחדרו, נשכב על המיטה ושוקע, מה שנרקא, בשנת צדיקים.",NotDescriptive
40,חברו של האדם - דמיטרי דנילוב,"ל פתח המוסכים מובילות כמה מדרגות, מעניין מה יש בתוכם, בתוך המוסכים, ואילו אמצעי תחבורה מצריכים מדרגות בכדי להיכנס למוסך ולצאת ממנו. ",Descriptive
41,חברו של האדם - דמיטרי דנילוב,"בקתות של מלאכובקה, במוסכים המשונים של אגם-לבנסקי, בשדות רחבי הידיים של שוחט-סוסובו, ברכבת הדיזל דמויית ""ספסן"" בזעיר-ענפין, בתחנות הביניים הקטנות בלב היער",Descriptive
42,חברו של האדם - דמיטרי דנילוב,"האדם חוצה את רחוב לנין, חולף על יד מכולת ""בואו נהיה חברים"", פונה לסמטת השדה השמינית, ניגש לבית מס' 4, בניין אפור בן חמש קומות, נכנס באחת הכניסות, עולה לאחת הקומות, מצלצל בפעמון של אחת הדירות",Descriptive
43,חברו של האדם - דמיטרי דנילוב,מסילה צרה היוצאת מיער עבות,Descriptive
44,חברו של האדם - דמיטרי דנילוב,"כשאדם הולך לעבודה כל יום ביומו לא נותר לו זמן לתסכול, לשממון ולעצב, אך לרשותו של אדם מסויים זה עומד די והותר זמן לתסכול, לשממון ולעצב; ייתכן גם וכבר פרש לגמלאות או, להיפך, טרם הגיע לגיל שבו אנשים נאלצים ללכת לעבודה יום-יום",NotDescriptive
45,חברו של האדם - דמיטרי דנילוב,"מרחבים ציוריים, הנפרשים מימינה של מסילת הרכבת על יד תחנת ""שוֺחֵט-סוּסוֺבוּ"".",Descriptive
46,חברו של האדם - דמיטרי דנילוב,"לקטי פטריות מרחיקים אל תוך היער, ותושבים ומבקרים משתרכים יחדיו לכיוון הכפר מתולתלובו.",Descriptive
47,חברו של האדם - דמיטרי דנילוב,חברו של האדם פותח לו את הדלת.,NotDescriptive
48,חברו של האדם - דמיטרי דנילוב,כיפה שטוחה של הר מרוחק.,Descriptive
49,חברו של האדם - דמיטרי דנילוב,או שמא יש לו מגבלות פיזיות כלשהן,NotDescriptive
50,חברו של האדם - דמיטרי דנילוב,רק בתחתונים ובגופיה,Descriptive
51,חברו של האדם - דמיטרי דנילוב,נוסעים רבים יורדים מרכבת הדיזל.,Descriptive
52,חברו של האדם - דמיטרי דנילוב,ייתכן גם ונמצא ברשותו מקור פרנסה קבוע,NotDescriptive
53,חברו של האדם - דמיטרי דנילוב,ההר אדמדם למחצה ושלגי למחצה.,Descriptive
54,חברו של האדם - דמיטרי דנילוב,"בסביבה של תחנת הביניים ""דניאלובסקאיה"" לא נראה דבר מלבד היער.",Descriptive
55,חברו של האדם - דמיטרי דנילוב,"כמו שאומרים, ללא סימני היכר מיוחדים, ואין טעם להרחיב עליו את הדיבור.",NotDescriptive
56,חברו של האדם - דמיטרי דנילוב,ארובות מרובות הפולטות עשן תעשייתי,Descriptive
57,חברו של האדם - דמיטרי דנילוב,"ו, לחילופין, הוא משכיר דירה או מתקיים מריבית של השקעה בנקאית דשנה או שקרובי משפחה עשירים תומכים בו, מי יודע?",NotDescriptive
58,חברו של האדם - דמיטרי דנילוב,"אפשר פשוט להתיישב בנחת, להרפות, לעצום עיניים, לנשום עמוק ולומר בלב כמה פעמים",NotDescriptive
59,חברו של האדם - דמיטרי דנילוב,חרבות של מבנה לבנים.,Descriptive
60,חברו של האדם - דמיטרי דנילוב,"בקיצור, עצוב לו, הוא משועמם ומתוסכל.",NotDescriptive
61,חברו של האדם - דמיטרי דנילוב,"לקו המושלג של הר ענק שטוח הכיפה באזור הרציף ""קילומטר 88"" קשור באופן כלשהו לתעשייה הכימית באזור תחנת ""תְחִיֵיתֵבְסְק""",Descriptive
62,חברו של האדם - דמיטרי דנילוב,מסילה שזורת עשבים מובילה אל תוך יער עבות.,Descriptive
63,חברו של האדם - דמיטרי דנילוב,דמותה של הדירה תזרח לכם בראש באור חולני ותיחרט בזכרונכם עד סוף ימיכם,NotDescriptive
64,חברו של האדם - דמיטרי דנילוב,"אגם זערורי על יד תחנת ""החולות""",Descriptive
65,חברו של האדם - דמיטרי דנילוב,"כשזה המצב, ניתן לעשות לא מעט דברים.",NotDescriptive
66,חברו של האדם - דמיטרי דנילוב,שיחתם מורכבת בעיקר משתיקות וממילים טוב יאללה,NotDescriptive
67,חברו של האדם - דמיטרי דנילוב,כמעט ולא נותרו נוסעים ברכבת.,Descriptive
68,חברו של האדם - דמיטרי דנילוב,"משל, אפשר ללכת לסרט או לצפות במשחק כדורגל או בכל משחק אחר, לפגוש חברים, לצאת לטיול רגלי ממושך, לקרוא ספר מרתק, לשחק במשחקי מחשב, ליטול חומרים פסיכואקטיביים, להתמסר לתחביב אווילי, כגון ניסור או צריבה בעץ, חריטה, או פשוט להעביר ערוצים בטלוויזיה — כלומר, לא חסרות אפשרויות להתמודד עם תסכול ועם שממון.",NotDescriptive
69,חברו של האדם - דמיטרי דנילוב,האגם מוצף כולו בטינופת מסתורית בצבע ירוק זוהר. ,Descriptive
70,חברו של האדם - דמיטרי דנילוב,רכבת הדיזל מאיצה ובמשך זמן מה דוהרת  ללא עצירה דרך היערות,Descriptive
71,חברו של האדם - דמיטרי דנילוב,", אבל גם מילים אחרות נשמעות מדי פעם",NotDescriptive
72,חברו של האדם - דמיטרי דנילוב,יש ימים בהם האדם חי לו את חייו ולפתע משתלטת עליו תוגה.,NotDescriptive
73,חברו של האדם - דמיטרי דנילוב,"כנסיית עץ קטנה שעל יד הרציף ""חורשת סוס""",Descriptive
74,חברו של האדם - דמיטרי דנילוב,"מקרה הנוכחי בוחר האדם באפשרות הרביעית מן הרשימה לעיל: ""לפגוש חברים"", או, ליתר דיוק, לא בלשון רבים אלא בשלון יחיד, דהיינו, ""לפגוש חבר"". ",NotDescriptive
75,חברו של האדם - דמיטרי דנילוב,האדם וחברו של האדם דנים בנסיבות החיים זה של זה.,NotDescriptive
76,חברו של האדם - דמיטרי דנילוב,"הוא משועמם, הוא לא מוצא את מקומו ונמלא תזזית חסרת תועלת",NotDescriptive
77,חברו של האדם - דמיטרי דנילוב,מבנה הקשור בדרך כלשהי לתשתית חשמל,Descriptive
78,חברו של האדם - דמיטרי דנילוב,"נהוג להשתמש גם בניסוח מעט שונה: ""לבקר חבר"".",NotDescriptive
79,חברו של האדם - דמיטרי דנילוב,הכנסיות והבתים של קולומנה העתיקה,Descriptive
80,חברו של האדם - דמיטרי דנילוב,זהו אחד מפרברי העיר אגמים.,Descriptive
81,חברו של האדם - דמיטרי דנילוב, אז איך אתה,NotDescriptive
82,חברו של האדם - דמיטרי דנילוב,"ייתכן ואיבד את פרנסתו, ייתכן וכלל לא הייתה לו עבודה, וכעת אינו מצליח להעסיק את עצמו.",NotDescriptive
83,חברו של האדם - דמיטרי דנילוב,"חשמלית ירוקה-בוהקת על מסילת הכיכר על יד הרציף ""קולומנה""",Descriptive
84,חברו של האדם - דמיטרי דנילוב,"אכן, לבקר חבר",NotDescriptive
85,חברו של האדם - דמיטרי דנילוב,איך בעבודה,NotDescriptive
86,חברו של האדם - דמיטרי דנילוב,"או, שמא טיב עבודתו מותיר לו פרקי זמן ממושכים דיים לשעמום ולתזזית.",NotDescriptive
87,חברו של האדם - דמיטרי דנילוב,לאורך המסילה פזורה אבקה לבנה מגעילה.,Descriptive
88,חברו של האדם - דמיטרי דנילוב,לבקר חבר.,NotDescriptive
89,חברו של האדם - דמיטרי דנילוב,"הרכבת החשמלית, עם האדם בתוכה, מגיעה לתחנת ""גלותין"". ",Descriptive
90,חברו של האדם - דמיטרי דנילוב,רכבת הדיזל עוצרת על יד תחנת עץ ירוקה.,Descriptive
91,חברו של האדם - דמיטרי דנילוב,אדם וחברו של האדם דנים בנסיבות החיים של המכרים המשותפים.,NotDescriptive
92,חברו של האדם - דמיטרי דנילוב,"רציף לא הומה מדי, רכבת בינעירונית ""מוסקבה―גלותין"" מגיעה",Descriptive
93,חברו של האדם - דמיטרי דנילוב,רציף קצר ביותר,Descriptive
94,חברו של האדם - דמיטרי דנילוב,"האדם יודע מראש, כי לא יהיה זה בילוי נעים ומשמח, הפגישה עם החבר לא תבדר אותו ולא תהיה מעניינת במיוחד, סביר גם להניח כי היא לא תפיג תסכול ושממון, ההיפך, היא עלולה אף להעצים אותם, אך חייבים לפעול בכל זאת, לפחות לעשות משהו, מה שזה לא יהיה.  צריך לפגוש חבר.",NotDescriptive
95,חברו של האדם - דמיטרי דנילוב,מה שלום סרגיי.,NotDescriptive
96,חברו של האדם - דמיטרי דנילוב,"הרכבת יוצאת לדרך, האדם בוהה בחלון",Descriptive
97,חברו של האדם - דמיטרי דנילוב,ברכבת הדיזל היערית האיטית.,Descriptive
98,חברו של האדם - דמיטרי דנילוב,"ברו של האדם מתגורר לא רחוק, אבל גם לא קרוב במיוחד.",NotDescriptive
99,חברו של האדם - דמיטרי דנילוב,"על יד רציף מס' 3 עומדת רכבת דיזל קטנה, חדשנית ויפה המורכבת משלושה קרונות הדומה במקצת לרכבת מהירה מסוג ""סָפְסָאן"".",Descriptive
100,חברו של האדם - דמיטרי דנילוב,ברחוב פְרוּנְזֶה השקט וכמעט ריק,Descriptive
101,חברו של האדם - דמיטרי דנילוב,נראה לי.,NotDescriptive
102,חברו של האדם - דמיטרי דנילוב,"רכבת דיזל זו נוסעת מ""גלותין"" ל""אגמים"" במסילה משנית המתפצלת מתוואי המסילה הראשי לכיוון רְיאָזָאן.",Descriptive
103,חברו של האדם - דמיטרי דנילוב,"אין אפשרות להגיע אליו ברגל, ברכבת התחתית או בכל אמצעי אחר של תחבורה ציבורית נפוצה.",NotDescriptive
104,חברו של האדם - דמיטרי דנילוב,מיכאליץ' מת,NotDescriptive
105,חברו של האדם - דמיטרי דנילוב,"קרונות כחולים של הרכבת התחתית העומדים על המסילות הרזרביות של תחנת שירות ""פיסגובו"".",Descriptive
106,חברו של האדם - דמיטרי דנילוב,האיש גורר עגלה עם שק לבן גדול.,Descriptive
107,חברו של האדם - דמיטרי דנילוב,"עם זאת, ניתן לנסוע אליו בסוג נוסף של התחבורה, ציבורית אף היא, בינעירונית.",NotDescriptive
108,חברו של האדם - דמיטרי דנילוב,"הקרון מצוייד במושבים נוחים, מסכי מידע דיגיטליים מנצנצים מעל הדלתות",Descriptive
109,חברו של האדם - דמיטרי דנילוב,"בתי עץ ישנים,",Descriptive
110,חברו של האדם - דמיטרי דנילוב," באמת, למה, ממה",NotDescriptive
111,חברו של האדם - דמיטרי דנילוב,"בניינים חומים גבוהים של מחוז ערמוּמִינוֺ בקרבת הרציף ""עקוּמינו""",Descriptive
112,חברו של האדם - דמיטרי דנילוב,איזו נוחות מנחמת!,Descriptive
113,חברו של האדם - דמיטרי דנילוב,"השקם בבוקר, יוצא האדם מביתו, נוסע לתחנת ""פִיסְגוֺבוֺ"", שם הוא רוכש כרטיס לתחנת ""גָלוֺּתִין"" תמורת מאה שבעים ומשהו רובל, ממתין במשך זמן-מה",NotDescriptive
114,חברו של האדם - דמיטרי דנילוב,"טוב, יאללה",NotDescriptive
115,חברו של האדם - דמיטרי דנילוב,"תובות גרפיטי ""סובלנות היא סרטן"" ו""ליוֺבֵּרְצִי היא עיר רוסית אסלית"" על קיר הבטון של אסופת מוסכים בכניסה לליוברצי.",Descriptive
116,חברו של האדם - דמיטרי דנילוב,"בניינים בני תשע קומות מתקופתו של ברז'נייב, מרכזי מכירות, תחנות דלק וכנסייה בסגנון הקלאסי.",Descriptive
117,חברו של האדם - דמיטרי דנילוב,האדם תופס את מקומו ליד החלון,NotDescriptive
118,חברו של האדם - דמיטרי דנילוב,נוסעים המעטים הם בני גיל העמידה לרוב ובני גיל הזהב.,Descriptive
119,חברו של האדם - דמיטרי דנילוב,בניין אפור בן חמש קומות,Descriptive
120,חברו של האדם - דמיטרי דנילוב,"כעבור זמן מה האדם נרדם לו בכורסא, וחברו של האדם נרדם על שרפרף",NotDescriptive
121,חברו של האדם - דמיטרי דנילוב,"אורנים על יד תחנות ""מָלָכוֺבְקָה"", ""מְנֵת-חִלְקִיה"", ""שוֺרינו""",Descriptive
122,חברו של האדם - דמיטרי דנילוב,"במושב הסמוך יושב לו לָקָט פטריות הנועל מגפי גומי, לרגליו ניצב דלי גדול",Descriptive
123,חברו של האדם - דמיטרי דנילוב,האדם בוהה בפרטי נוף החולפים על פניו במבט מרחף ומפוזר.,NotDescriptive
124,חברו של האדם - דמיטרי דנילוב,"לא נוח במיוחד לישון על שרפרף, וחברו של האדם נוטה שמאלה, קורס מהשרפרף וממשיך לישון על הרצפה",NotDescriptive
125,חברו של האדם - דמיטרי דנילוב,"בין האורנים האדם מבחין בבקתות עץ ישנות קרוב לתחנות ""אליהוּבְסְקָייָה"", ""מנוחה"", ""קָטָנֺובֺו"".",Descriptive
126,חברו של האדם - דמיטרי דנילוב,הוא מקריח,Descriptive
127,חברו של האדם - דמיטרי דנילוב,"אף על פי כן, הוא מצליח להבחין בלא מעט פרטים",NotDescriptive
128,חברו של האדם - דמיטרי דנילוב,ייתכן ובקרון זה נוסעים לקטים נוספים.  ,Descriptive
129,חברו של האדם - דמיטרי דנילוב,יש לו לחיים סמוקות והוא עליז ורענן,Descriptive
130,חברו של האדם - דמיטרי דנילוב,"חברו של האדם מנער את האדם בכתפו, האדם מתעורר, חושך, האדם וחברו של האדם הולכים לחנות שפתוחה כל הלילה, קונים להם משקה כהלי חלש וגם משקה חזק וחוזרים לדירה",NotDescriptive
131,חברו של האדם - דמיטרי דנילוב,האדם רואה פרפר צבעוני עצום-מימדים המצוייר על קיר עורפי של בניין בן תשע קומות בְרָמֵנְסְקֺויֶה.,Descriptive
132,חברו של האדם - דמיטרי דנילוב,רכבת הדיזל משמיעה שריקה קצרה ואט אט מתחילה לנוע לאורך שולי קולומנה,Descriptive
133,חברו של האדם - דמיטרי דנילוב,האדם רואה,NotDescriptive
134,חברו של האדם - דמיטרי דנילוב,"שותים, משוחחים.  השיחה, אם ניתן להגדיר אותה ככזו, נסובה כעת סביב נושא הכדורגל.",NotDescriptive
135,חברו של האדם - דמיטרי דנילוב,"האדם רואה רכבת חשמלית מפורקת, מושחתת ועם זאת חדישה למדי בתחנת השירות על יד רציף ""47 ק""מ"".",Descriptive
136,חברו של האדם - דמיטרי דנילוב,שמן או רזה או נמוך או שגובהו שני מטר,Descriptive
137,חברו של האדם - דמיטרי דנילוב,"זה לא שרווח לו, אבל הוא חש הקלה מסויימת",NotDescriptive
138,חברו של האדם - דמיטרי דנילוב,לאורך מסילת הרכבת האדם רואה מסילות של חשמלית.,Descriptive
139,חברו של האדם - דמיטרי דנילוב,עור פניו אפרורי ושפתיו דקות או עבות,Descriptive
140,חברו של האדם - דמיטרי דנילוב,קורא פתאום חברו של האדם ומרים את עיניו השתויות אל התקרה. ,NotDescriptive
141,חברו של האדם - דמיטרי דנילוב,מוקדם בבוקר היה מעונן וגשם קל טפטף מעל פיסגובו.,Descriptive
142,חברו של האדם - דמיטרי דנילוב,בתים דו-קומתיים בפרברי קולומנה,Descriptive
143,חברו של האדם - דמיטרי דנילוב,"האחת מצהירה: הנה, שימו לב",NotDescriptive
144,חברו של האדם - דמיטרי דנילוב,"האדם שוב נרדם בכורסא וחברו של האדם, טרם נופלו מהשרפרף, צולח לנחות על הספה.",NotDescriptive
145,חברו של האדם - דמיטרי דנילוב,"כעת, כמו שאומרים, התבהרו השמים.",Descriptive
146,חברו של האדם - דמיטרי דנילוב,"שהוא לבוש ברישול, במכנסי טרנינג וגופיה",Descriptive
147,חברו של האדם - דמיטרי דנילוב,השניה מכריזה,NotDescriptive
148,חברו של האדם - דמיטרי דנילוב,לשמאלה של המסילה זורם נהר אוֺקָה.,Descriptive
149,חברו של האדם - דמיטרי דנילוב,קי ומטופח,Descriptive
150,חברו של האדם - דמיטרי דנילוב,"אחת הכניסות של בית מספר 4 בסמתת השדה השמינית של העיר אגמים,  צועד לאורכה של סמתת השדה השמינית, חולף על יד המכולת ""בואו נהיה חברים"", חוצה את רחוב לנין ומשתרך עד התחנה המרכזית.  בניין התחנה המרכזית הוא בניין מודרני יפה ועגול הצבוע בגוון כחול-אפור.",Descriptive
151,חברו של האדם - דמיטרי דנילוב,"האדם מתבונן בשמי בוקר כחולים, באורנים, בשדות רחבי ידיים שעל יד רציף ""סובחוז""",Descriptive
152,חברו של האדם - דמיטרי דנילוב,"הוא כמעט ולא נראה מאחורי העצים והבתים, אך נוכחותו מורגשת.",Descriptive
153,חברו של האדם - דמיטרי דנילוב,"האדם יורד מן הרכבת החשמלית, עובר לרציף השני בגשר להולכי רגל, ומגיע לרציף השלישי הקרוי בהתאם ""רציף מס' 3""",NotDescriptive
154,חברו של האדם - דמיטרי דנילוב,"תחנות כאלו נבנו במחצית הראשונה של שנות האלפיים בכל מרכזי המועצות של מחוז מוסקבה בהתאם להחלטתה הנבונה של הנהלת המחוז.
",Descriptive
155,חברו של האדם - דמיטרי דנילוב,"בקצה השני של הקרון התמקמה לה חבורת צעירים במדי הרכבת: מקטורנים כחולים, חולצות לבנות, עניבות כחולות וכובעי מצחיה",Descriptive
156,חברו של האדם - דמיטרי דנילוב,הוא מקריח או קירח לחלוטין,Descriptive
157,חברו של האדם - דמיטרי דנילוב,האדם נכנס לקרון האמצעי ותופס מקום על יד החלון.,NotDescriptive
158,חברו של האדם - דמיטרי דנילוב,לפתע רכבת הדיזל נמלאת נוסעים. ,Descriptive
159,חברו של האדם - דמיטרי דנילוב,הוא לבוש במכנסי טרנינג,Descriptive
160,חברו של האדם - דמיטרי דנילוב,"האדם רוכש כרטיס ל""פיסגובו"".",NotDescriptive
161,חברו של האדם - דמיטרי דנילוב,"הצעירים במדי הרכבת סואנים, נוהמים וצוחקים.  אחד הצעירים משמיע מדי פעם יללה גרונית ארוכה.",Descriptive
162,חברו של האדם - דמיטרי דנילוב,"ברובם בני גיל העמידה ובני גיל הזהב, ברובם לקטים.",Descriptive
163,חברו של האדם - דמיטרי דנילוב,האדם בוהה בחלון,NotDescriptive
164,חברו של האדם - דמיטרי דנילוב, בחזור הוא החליט לנסוע בדרך קלה וטבעית יותר,NotDescriptive
165,חברו של האדם - דמיטרי דנילוב,בה בעת מופיעות בקרון שתי סוחרות.,Descriptive
166,חברו של האדם - דמיטרי דנילוב,בעל חזות שגרתית לחלוטין,Descriptive
167,חברו של האדם - דמיטרי דנילוב,"ישה מבוגרת אחת מספרת לאישה מבוגרת השניה: אתמול נסעתי בקו הזה, חצי מהנוסעים היו עובדי מפעל, כמה שהם צווחו, כמה שצווחו, אתה מכבד אותי צווחו, ככה הם צווחו.  נורא, פשוט נורא, עונה האישה המבוגרת השנייה לאישה המבוגרת הראשונה.",NotDescriptive
168,חברו של האדם - דמיטרי דנילוב,בנייני מפעל עצומים,Descriptive
169,חברו של האדם - דמיטרי דנילוב,דירת חדר מצויה מתקופת חרושצ'וב,Descriptive
170,חברו של האדם - דמיטרי דנילוב,"האדם חש חמרמורת קלה, הוא רוצה הביתה, ואין לו חשק לנסוע ברכבת הדיזל,",NotDescriptive
171,חברו של האדם - דמיטרי דנילוב,"מתלים נוחים לתיקים הכבדים שלכם וגם מחטים, חוטי תפירה וצבעי בד.",Descriptive
172,חברו של האדם - דמיטרי דנילוב,בקולומנה יש הרבה מפעלים,Descriptive
173,חברו של האדם - דמיטרי דנילוב,"ייתכן והפועלים הצווחניים עובדים דווקא במפעל זה, או במפעל אחר.",NotDescriptive
174,חברו של האדם - דמיטרי דנילוב,האדם תופס את מקומו על יד החלון ― בהתאם לכרטיס ― ונרדם טרם תחילת הנסיעה.,NotDescriptive
