,Sentence,Type,Story
34,"מיכל זה נקנה בסעודיה, הצבע יפה מאוד מכיוון שיש לו צבעי כחול וצהוב.",Descriptive,General
35,"גם התמונה של הסיר הזה יפה מאוד, מכיוון שיש לו כיפת מסגד.",Descriptive,General
36,המנוע ניזוק מכיוון שלא הוחלף בבית מלאכה זה זמן רב.,Descriptive,General
37,"המכונה תוקנה זה עתה, כך שהמנוע יכול לפעול טוב עכשיו",Descriptive,General
38,"הבגדים שקנית היו אדומים, אתה חייב לאהוב אותם.",Descriptive,General
39,"השעון יקר מאוד, מכיוון שיש לו ציפוי זהב בשעון.",Descriptive,General
40,שריפות היער גרמו לכל האנשים האינדונזים להיות חסרי שקט ולובשים מסכות כאשר הם בתנועה.,Descriptive,General
41,בזמן האחרון אש יער בקלימנטן ובפקנבארו הפיצו עשן לאזור אצ'ה.,Descriptive,General
42,שריפות יער באזורי הכבול של קלימנטן מטרידות את העולם מכיוון שקלימנטן היא ריאות העולם.,Descriptive,General
43,"הצונאמי של אצ'ה בשנת 2004 הרג אלפי תושבים אצ'אניים, אירוע זה היה אירוע שגילם את הפצעים העמוקים ביותר עבור תושבי אצ'ה.",Descriptive,General
44,הצונאמי באצ'ה הפיל גם הוא את כל הבניינים באצ'ה.,Descriptive,General
45,"רעידות אדמה פוגעות לעתים קרובות גם באצ'ה, מכיוון שהלוחות התת-קרקעיים של אצ''ה משתנים.",Descriptive,General
46,"תיירים טבעיים לשיא בוגור נהנים מאוד מתיירים, מכיוון שהמקום קריר.",Descriptive,General
47,"בשיא הנסיעה של בוגור הוא גם שקט מאוד ולא הרבה רכבים עוברים, כך שהוא יכול להרגיע את דעתנו.",Descriptive,General
48,"כדי ליצור אינדונזיה בריאה, עלינו לשתול עצים מוקדם. מכיוון שעצים יכולים לקרר את הטבע שלנו.",Descriptive,General
49,"החוף בסבנג יפה מאוד, המים כחולים מאוד והמקום עדיין יפה.",Descriptive,General
