,Story,Sentence,Type
57,או הנרי - העלה האחרון,"בנובמבר,התהלך לו ,בהילוך בוטח,זר , סמוי וקר-דלקת ראות,ובאצבעותיו המקפיאות נגע באדם אחד כאן ובאחר שם.מפיל קורבנות לעשרות.",Descriptive
58,או הנרי - העלה האחרון,"בנובמבר,התהלך לו ,בהילוך בוטח,זר , סמוי וקר-דלקת ראות,ובאצבעותיו המקפיאות נגע באדם אחד כאן ובאחר שם.מפיל קורבנות לעשרות.",Descriptive
59,או הנרי - העלה האחרון,"בנובמבר,התהלך לו ,בהילוך בוטח,זר , סמוי וקר-דלקת ראות,ובאצבעותיו המקפיאות נגע באדם אחד כאן ובאחר שם.מפיל קורבנות לעשרות.",Descriptive
60,או הנרי - העלה האחרון,"ג'ונסי ישנה כשסו וברמן נכנסו לסטודיו,סו הורידה את התריס.בחוץ ירד גשם קר מעורב בפתיתי שלג.",Descriptive
61,או הנרי - העלה האחרון,"ג'ונסי ישנה כשסו וברמן נכנסו לסטודיו,סו הורידה את התריס.בחוץ ירד גשם קר מעורב בפתיתי שלג.",Descriptive
62,או הנרי - העלה האחרון,"ג'ונסי ישנה כשסו וברמן נכנסו לסטודיו,סו הורידה את התריס.בחוץ ירד גשם קר מעורב בפתיתי שלג.",Descriptive
63,או הנרי - העלה האחרון,"לא שאלת את עצמך למה הוא זז ברוח? הה חומד, זאת יצירת המופת של ברמן, הוא צייר אותה שם בלילה שבו נשר העלה האחרון"".
",NotDescriptive
64,או הנרי - העלה האחרון,"לא שאלת את עצמך למה הוא זז ברוח? הה חומד, זאת יצירת המופת של ברמן, הוא צייר אותה שם בלילה שבו נשר העלה האחרון"".
",NotDescriptive
65,או הנרי - העלה האחרון,"לא שאלת את עצמך למה הוא זז ברוח? הה חומד, זאת יצירת המופת של ברמן, הוא צייר אותה שם בלילה שבו נשר העלה האחרון"".
",NotDescriptive
66,או הנרי - העלה האחרון,"""עלים על הקיסוס,כשינשור האחרון גם אני אצטרך ללכת"",",NotDescriptive
67,או הנרי - העלה האחרון,"""עלים על הקיסוס,כשינשור האחרון גם אני אצטרך ללכת"",",NotDescriptive
68,או הנרי - העלה האחרון,"""עלים על הקיסוס,כשינשור האחרון גם אני אצטרך ללכת"",",NotDescriptive
69,או הנרי - העלה האחרון,"אני עייפה מלחכות,עייפה מלחכות,רוצה להשתחרר ולרחף לי ממש כמו עלה עייף ומסכן"".",Descriptive
70,או הנרי - העלה האחרון,"אני עייפה מלחכות,עייפה מלחכות,רוצה להשתחרר ולרחף לי ממש כמו עלה עייף ומסכן"".",Descriptive
71,או הנרי - העלה האחרון,"אני עייפה מלחכות,עייפה מלחכות,רוצה להשתחרר ולרחף לי ממש כמו עלה עייף ומסכן"".",Descriptive
72,או הנרי - העלה האחרון,היא ספרה לו על ג'ונסי ומחשבת השטן שלה.,NotDescriptive
73,או הנרי - העלה האחרון,היא ספרה לו על ג'ונסי ומחשבת השטן שלה.,NotDescriptive
74,או הנרי - העלה האחרון,היא ספרה לו על ג'ונסי ומחשבת השטן שלה.,NotDescriptive
75,או הנרי - העלה האחרון,",גרו בסטודיו,במרומי בית לבנים בן שלוש קומות ברובע גריניצ' ווילג'.",Descriptive
76,או הנרי - העלה האחרון,",גרו בסטודיו,במרומי בית לבנים בן שלוש קומות ברובע גריניצ' ווילג'.",Descriptive
77,או הנרי - העלה האחרון,",גרו בסטודיו,במרומי בית לבנים בן שלוש קומות ברובע גריניצ' ווילג'.",Descriptive
78,או הנרי - העלה האחרון,היא שכבה במיטת הברזל ולא זעה כשהביטה מבעל לשמשות הקטנות אל הצד האטום של הבית הסמוך.,Descriptive
79,או הנרי - העלה האחרון,היא שכבה במיטת הברזל ולא זעה כשהביטה מבעל לשמשות הקטנות אל הצד האטום של הבית הסמוך.,Descriptive
80,או הנרי - העלה האחרון,היא שכבה במיטת הברזל ולא זעה כשהביטה מבעל לשמשות הקטנות אל הצד האטום של הבית הסמוך.,Descriptive
81,או הנרי - העלה האחרון,"""זה האחרון"" אמרה ג'ונסי ""חשבתי שהוא בטח ייפול במשך הלילה,שמעתי את הרוח,היום הוא ייפול, ואז אני אמות"".",NotDescriptive
82,או הנרי - העלה האחרון,"""זה האחרון"" אמרה ג'ונסי ""חשבתי שהוא בטח ייפול במשך הלילה,שמעתי את הרוח,היום הוא ייפול, ואז אני אמות"".",NotDescriptive
83,או הנרי - העלה האחרון,"""זה האחרון"" אמרה ג'ונסי ""חשבתי שהוא בטח ייפול במשך הלילה,שמעתי את הרוח,היום הוא ייפול, ואז אני אמות"".",NotDescriptive
84,או הנרי - העלה האחרון,"בוקר אחד, הזמין רופא את סו אל המסדרון.",NotDescriptive
85,או הנרי - העלה האחרון,"בוקר אחד, הזמין רופא את סו אל המסדרון.",NotDescriptive
86,או הנרי - העלה האחרון,"בוקר אחד, הזמין רופא את סו אל המסדרון.",NotDescriptive
87,או הנרי - העלה האחרון,כשתהעוררה סו למחרת בבוקר מצאה את ג'ונסי לוטשת עיניים בוהות בתריס המורד.,NotDescriptive
88,או הנרי - העלה האחרון,כשתהעוררה סו למחרת בבוקר מצאה את ג'ונסי לוטשת עיניים בוהות בתריס המורד.,NotDescriptive
89,או הנרי - העלה האחרון,כשתהעוררה סו למחרת בבוקר מצאה את ג'ונסי לוטשת עיניים בוהות בתריס המורד.,NotDescriptive
90,או הנרי - העלה האחרון,היא מצאה את ברמן במאורתו האפלולית למטה.,NotDescriptive
91,או הנרי - העלה האחרון,היא מצאה את ברמן במאורתו האפלולית למטה.,NotDescriptive
92,או הנרי - העלה האחרון,היא מצאה את ברמן במאורתו האפלולית למטה.,NotDescriptive
93,או הנרי - העלה האחרון,קיסוס ישן טיפס על קיר הלבנים.,Descriptive
94,או הנרי - העלה האחרון,קיסוס ישן טיפס על קיר הלבנים.,Descriptive
95,או הנרי - העלה האחרון,קיסוס ישן טיפס על קיר הלבנים.,Descriptive
96,או הנרי - העלה האחרון,"הן נפגשו באחת מהמסעדות העממיות וגילו דברים רבים במשותף,והחליטו לגור יחד בסטודיו המוזכר.",NotDescriptive
97,או הנרי - העלה האחרון,"הן נפגשו באחת מהמסעדות העממיות וגילו דברים רבים במשותף,והחליטו לגור יחד בסטודיו המוזכר.",NotDescriptive
98,או הנרי - העלה האחרון,"הן נפגשו באחת מהמסעדות העממיות וגילו דברים רבים במשותף,והחליטו לגור יחד בסטודיו המוזכר.",NotDescriptive
99,או הנרי - העלה האחרון,"החצרן מצא אותו בחדר שלו למטה,חסר אונים מרוב כאבים, נעליו ובגדיו היו רטובים לגמרי וקרים כקרח.",Descriptive
100,או הנרי - העלה האחרון,"החצרן מצא אותו בחדר שלו למטה,חסר אונים מרוב כאבים, נעליו ובגדיו היו רטובים לגמרי וקרים כקרח.",Descriptive
101,או הנרי - העלה האחרון,"החצרן מצא אותו בחדר שלו למטה,חסר אונים מרוב כאבים, נעליו ובגדיו היו רטובים לגמרי וקרים כקרח.",Descriptive
102,או הנרי - העלה האחרון,שהאיר הבוקר פקדה ג'ונסי להרים את התריס. עלה השיח עדיין היה שם.,NotDescriptive
103,או הנרי - העלה האחרון,שהאיר הבוקר פקדה ג'ונסי להרים את התריס. עלה השיח עדיין היה שם.,NotDescriptive
104,או הנרי - העלה האחרון,שהאיר הבוקר פקדה ג'ונסי להרים את התריס. עלה השיח עדיין היה שם.,NotDescriptive
105,או הנרי - העלה האחרון,לא נראו שם אלא חצר ריקה וצידו האטום של הבנין.,NotDescriptive
106,או הנרי - העלה האחרון,לא נראו שם אלא חצר ריקה וצידו האטום של הבנין.,NotDescriptive
107,או הנרי - העלה האחרון,לא נראו שם אלא חצר ריקה וצידו האטום של הבנין.,NotDescriptive
108,או הנרי - העלה האחרון,"ברמן הזקן היה צייר שגר בבניין, בן למעלה מששים,הוא היה כשלון אמנותי.",NotDescriptive
109,או הנרי - העלה האחרון,"ברמן הזקן היה צייר שגר בבניין, בן למעלה מששים,הוא היה כשלון אמנותי.",NotDescriptive
110,או הנרי - העלה האחרון,"ברמן הזקן היה צייר שגר בבניין, בן למעלה מששים,הוא היה כשלון אמנותי.",NotDescriptive
111,או הנרי - העלה האחרון,מעט פרנסה מצא כששימש דוגמן לאמנים צעירים.,NotDescriptive
112,או הנרי - העלה האחרון,מעט פרנסה מצא כששימש דוגמן לאמנים צעירים.,NotDescriptive
113,או הנרי - העלה האחרון,מעט פרנסה מצא כששימש דוגמן לאמנים צעירים.,NotDescriptive
114,או הנרי - העלה האחרון,סו נכנסה לחדר של ג'ונסי ובידה לוח הרישום שלה.ג'ונסי שכבה ופניה לחלון.סו חשבה שג'ונסי ישנה.,NotDescriptive
115,או הנרי - העלה האחרון,סו נכנסה לחדר של ג'ונסי ובידה לוח הרישום שלה.ג'ונסי שכבה ופניה לחלון.סו חשבה שג'ונסי ישנה.,NotDescriptive
116,או הנרי - העלה האחרון,סו נכנסה לחדר של ג'ונסי ובידה לוח הרישום שלה.ג'ונסי שכבה ופניה לחלון.סו חשבה שג'ונסי ישנה.,NotDescriptive
117,או הנרי - העלה האחרון,הרוח הקרה של הסתיו תלשה את העלים מן המטפס והענפים נצמדו עירומים אל הקיר המתפורר.,Descriptive
118,או הנרי - העלה האחרון,הרוח הקרה של הסתיו תלשה את העלים מן המטפס והענפים נצמדו עירומים אל הקיר המתפורר.,Descriptive
119,או הנרי - העלה האחרון,הרוח הקרה של הסתיו תלשה את העלים מן המטפס והענפים נצמדו עירומים אל הקיר המתפורר.,Descriptive
120,או הנרי - העלה האחרון,"זה חטא לרצות למות,את יכולה להביא לי עכשיו קצת מרק,וקצת חלב עם טיפת יין פורט"".",MightDescriptive
121,או הנרי - העלה האחרון,"זה חטא לרצות למות,את יכולה להביא לי עכשיו קצת מרק,וקצת חלב עם טיפת יין פורט"".",MightDescriptive
122,או הנרי - העלה האחרון,"זה חטא לרצות למות,את יכולה להביא לי עכשיו קצת מרק,וקצת חלב עם טיפת יין פורט"".",MightDescriptive
123,או הנרי - העלה האחרון,"אך הנה, לאחר הגשם הסוחף ומשבי הרוח הפראיים שנמשכו כל הלילה הארוך, עדיין נותר עלה ירוק כהה ליד גבעולו, אך קצותיו המשוננים כבר הצהיבו בצהוב רקבון, ובאומץ נאחז בענף אחד.",Descriptive
124,או הנרי - העלה האחרון,"אך הנה, לאחר הגשם הסוחף ומשבי הרוח הפראיים שנמשכו כל הלילה הארוך, עדיין נותר עלה ירוק כהה ליד גבעולו, אך קצותיו המשוננים כבר הצהיבו בצהוב רקבון, ובאומץ נאחז בענף אחד.",Descriptive
125,או הנרי - העלה האחרון,"אך הנה, לאחר הגשם הסוחף ומשבי הרוח הפראיים שנמשכו כל הלילה הארוך, עדיין נותר עלה ירוק כהה ליד גבעולו, אך קצותיו המשוננים כבר הצהיבו בצהוב רקבון, ובאומץ נאחז בענף אחד.",Descriptive
126,או הנרי - העלה האחרון,"""יש לי משהו לספר לך, מר ברמן מת היום מדלקת ראות בבית החולים, הוא היה חולה רק יומייים.",NotDescriptive
127,או הנרי - העלה האחרון,"""יש לי משהו לספר לך, מר ברמן מת היום מדלקת ראות בבית החולים, הוא היה חולה רק יומייים.",NotDescriptive
128,או הנרי - העלה האחרון,"""יש לי משהו לספר לך, מר ברמן מת היום מדלקת ראות בבית החולים, הוא היה חולה רק יומייים.",NotDescriptive
129,או הנרי - העלה האחרון,"היום החל לרדת,ובאור הדמדומים יכלו לראות איך העלה הבודד נאחז בגבעולו מול הקיר.",Descriptive
130,או הנרי - העלה האחרון,"היום החל לרדת,ובאור הדמדומים יכלו לראות איך העלה הבודד נאחז בגבעולו מול הקיר.",Descriptive
131,או הנרי - העלה האחרון,"היום החל לרדת,ובאור הדמדומים יכלו לראות איך העלה הבודד נאחז בגבעולו מול הקיר.",Descriptive
132,או הנרי - העלה האחרון,"סו וג'ונסי,שתי אומניות,גרו בסטודיו,במרומי בית לבנים בן שלוש קומות ברובע גריניצ' ווילג'.",MightDescriptive
133,או הנרי - העלה האחרון,"סו וג'ונסי,שתי אומניות,גרו בסטודיו,במרומי בית לבנים בן שלוש קומות ברובע גריניצ' ווילג'.",MightDescriptive
134,או הנרי - העלה האחרון,"סו וג'ונסי,שתי אומניות,גרו בסטודיו,במרומי בית לבנים בן שלוש קומות ברובע גריניצ' ווילג'.",MightDescriptive
135,או הנרי - העלה האחרון,"ש לה סיכוי של אחת לעשר, וזה בתנאי שהיא תרצה לחיות",NotDescriptive
136,או הנרי - העלה האחרון,"ש לה סיכוי של אחת לעשר, וזה בתנאי שהיא תרצה לחיות",NotDescriptive
137,או הנרי - העלה האחרון,"ש לה סיכוי של אחת לעשר, וזה בתנאי שהיא תרצה לחיות",NotDescriptive
138,או הנרי - העלה האחרון,"""את לא יכולה לרשום בחדר השני?"" שאלה ג'ונסי בקרירות,
""אני מעדיפה להיות עלידך,חוץ מזה, אני לא רוצה שתסתכלי על העלים האלה כל הזמן"" אמרה סו.",NotDescriptive
139,או הנרי - העלה האחרון,"""את לא יכולה לרשום בחדר השני?"" שאלה ג'ונסי בקרירות,
""אני מעדיפה להיות עלידך,חוץ מזה, אני לא רוצה שתסתכלי על העלים האלה כל הזמן"" אמרה סו.",NotDescriptive
140,או הנרי - העלה האחרון,"""את לא יכולה לרשום בחדר השני?"" שאלה ג'ונסי בקרירות,
""אני מעדיפה להיות עלידך,חוץ מזה, אני לא רוצה שתסתכלי על העלים האלה כל הזמן"" אמרה סו.",NotDescriptive
141,או הנרי - העלה האחרון,"ובלילה, נשבה שוב רוח הצפון והגשם המשיך להצליף בחלונות.",Descriptive
142,או הנרי - העלה האחרון,"ובלילה, נשבה שוב רוח הצפון והגשם המשיך להצליף בחלונות.",Descriptive
143,או הנרי - העלה האחרון,"ובלילה, נשבה שוב רוח הצפון והגשם המשיך להצליף בחלונות.",Descriptive
144,או הנרי - העלה האחרון,אחר הצהריים נגשה סו לג'ונסי ששכבה במיטה וסרגה צעיף צמר.,NotDescriptive
145,או הנרי - העלה האחרון,אחר הצהריים נגשה סו לג'ונסי ששכבה במיטה וסרגה צעיף צמר.,NotDescriptive
146,או הנרי - העלה האחרון,אחר הצהריים נגשה סו לג'ונסי ששכבה במיטה וסרגה צעיף צמר.,NotDescriptive
147,או הנרי - העלה האחרון,אף אחד לא הבין איפה היה בלילה נורא כל כך.,NotDescriptive
148,או הנרי - העלה האחרון,אף אחד לא הבין איפה היה בלילה נורא כל כך.,NotDescriptive
149,או הנרי - העלה האחרון,אף אחד לא הבין איפה היה בלילה נורא כל כך.,NotDescriptive
150,או הנרי - העלה האחרון,זה קרה בחודש מאי.,Descriptive
151,או הנרי - העלה האחרון,זה קרה בחודש מאי.,Descriptive
152,או הנרי - העלה האחרון,זה קרה בחודש מאי.,Descriptive
153,או הנרי - העלה האחרון,"שניים עשר"" אמרה ""אחד עשר"" ""עשרה"" ו""תשעה"" ו""שמונה"" ו""שבעה"" כמעט בנשימה אחת.
",Descriptive
154,או הנרי - העלה האחרון,"שניים עשר"" אמרה ""אחד עשר"" ""עשרה"" ו""תשעה"" ו""שמונה"" ו""שבעה"" כמעט בנשימה אחת.
",Descriptive
155,או הנרי - העלה האחרון,"שניים עשר"" אמרה ""אחד עשר"" ""עשרה"" ו""תשעה"" ו""שמונה"" ו""שבעה"" כמעט בנשימה אחת.
",Descriptive
156,או הנרי - העלה האחרון,הוא היה זקן ומהיר חימה וראה עצמו ככלב שמירה שתפקידו להגן על שתי הציירות הצעירות בסטודיו שלמעלה.,NotDescriptive
157,או הנרי - העלה האחרון,הוא היה זקן ומהיר חימה וראה עצמו ככלב שמירה שתפקידו להגן על שתי הציירות הצעירות בסטודיו שלמעלה.,NotDescriptive
158,או הנרי - העלה האחרון,הוא היה זקן ומהיר חימה וראה עצמו ככלב שמירה שתפקידו להגן על שתי הציירות הצעירות בסטודיו שלמעלה.,NotDescriptive
159,או הנרי - העלה האחרון,"""ג'ונסי הבטיחי לי שלא תפתחי את העיניים ותביטי החוצה עד שאגמור לעבוד,אני צריכה למסור את הרישומים מחר, ואני צריכה את האור מהחלון, אחרת אוריד את התריס.""",NotDescriptive
160,או הנרי - העלה האחרון,"""ג'ונסי הבטיחי לי שלא תפתחי את העיניים ותביטי החוצה עד שאגמור לעבוד,אני צריכה למסור את הרישומים מחר, ואני צריכה את האור מהחלון, אחרת אוריד את התריס.""",NotDescriptive
161,או הנרי - העלה האחרון,"""ג'ונסי הבטיחי לי שלא תפתחי את העיניים ותביטי החוצה עד שאגמור לעבוד,אני צריכה למסור את הרישומים מחר, ואני צריכה את האור מהחלון, אחרת אוריד את התריס.""",NotDescriptive
162,או הנרי - העלה האחרון,"שעה ארוכה שכבה ג'ונסי והביטה בו, אחר כך קראה לסו שבחשה מרק עוף על כירת הגז.",NotDescriptive
163,או הנרי - העלה האחרון,"שעה ארוכה שכבה ג'ונסי והביטה בו, אחר כך קראה לסו שבחשה מרק עוף על כירת הגז.",NotDescriptive
164,או הנרי - העלה האחרון,"שעה ארוכה שכבה ג'ונסי והביטה בו, אחר כך קראה לסו שבחשה מרק עוף על כירת הגז.",NotDescriptive
