,Story,Sentence,Type
33,אתגר קרת - סוסיקו,"מקלון הזהב' קוראים לזה, ויש לעיין בעלון המצורף לצרכן לפני שהחברה שלך עושה עליו פיפי.",NotDescriptive
34,אתגר קרת - סוסיקו,ממה?' שאלה הסבתא,NotDescriptive
35,אתגר קרת - סוסיקו,"מאז, כל לילה הוא ישן עם הראש צמוד לבטן שלה, שרק הלכה וגדלה.",NotDescriptive
36,אתגר קרת - סוסיקו,"אני מפחד, סבתא גדולה,' בכה לה על הספה בסלון, 'אני כל-כך מפחד שאין לך מושג'.",NotDescriptive
37,אתגר קרת - סוסיקו,"עכשיו, העובר, כשהוא בבטן, אין לו דעה על כלום, אז הוא מקבל. מה שתחלום זה מה שיהיה - בלי חוכמות.'",NotDescriptive
38,אתגר קרת - סוסיקו,היא לקחה אותו להמון רופאים מומחים שאמרו שאף-פעם לא ממש יגדל.,NotDescriptive
39,אתגר קרת - סוסיקו,"בשבתות היו רוכבים עליו לפארק הלאומי ומשחקים איתו בכל מיני משחקים, בעיקר קאובויים ואינדיאנים.",Descriptive
40,אתגר קרת - סוסיקו,לרוב חברה שלו היתה מעירה אותו .,NotDescriptive
41,אתגר קרת - סוסיקו,"בינתיים, בטלנובלה, הזאת עם המגבת ירתה בויקטור, פעמיים, למורת רוחה של הסבתא הגדולה, והוא היה מוחבר עכשיו, כבר די הרבה פרקים, למכונת הנשמה.",Descriptive
42,אתגר קרת - סוסיקו,"תקשיב לי טוב, נין,' אמרה הסבתא הגדולה בזמן שהיא מנדנדת את ראשה על פי קצב נעימת שיר הסיום של הסידרה 'בלילה,",MightDescriptive
43,אתגר קרת - סוסיקו,"אחר-כך עושים קפה, אוכלים עוגיה, כאילו אין לחץ, רואים ביחד קליפ, מסתלבטים על הזמר, מתחבקים, שרים איתו ביחד בפיזמון. וחזרה למקלון.",Descriptive
44,אתגר קרת - סוסיקו,"'ישאר גמד,' כמו שהיתה אומרת.",Descriptive
45,אתגר קרת - סוסיקו,"א בטח-שאני-אוהב-אותך מגמגם, אוהב לנצח, כמו באגדות. ",Descriptive
46,אתגר קרת - סוסיקו,"בערך בחודש השלישי,",Descriptive
47,אתגר קרת - סוסיקו,"'תקפוץ,' צעק לילד מלמטה, 'נראה אותך גבר, יא סחטן.' ",Descriptive
48,אתגר קרת - סוסיקו,"האמת, הוא אהב אותה.",NotDescriptive
49,אתגר קרת - סוסיקו,"לא יודע,' מילמל, 'שיוולד איזה משהו שלא רציתי בכלל.'",NotDescriptive
50,אתגר קרת - סוסיקו,"בלילה אחרי זה היה לו חלום שהוא דוחף את החברה שלו במדרגות שתפיל, או שזה לא היה חלום, סתם מחשבה שעברה לו בראש.",NotDescriptive
51,אתגר קרת - סוסיקו,בזמן שהיא בוהה באיזה ויקטור אחד עם שפם שבדיוק גילה למישהי עטופה במגבת שהוא בעצם האבא שלה,Descriptive
52,אתגר קרת - סוסיקו,ככה שכל החלומות יעברו לך מהראש ישר לבטן.,NotDescriptive
53,אתגר קרת - סוסיקו,"אם יהיה בן אני אלמד אותו כדורגל, ואם בת, אז, את יודעת מה, גם, לה לא יזיק.",NotDescriptive
54,אתגר קרת - סוסיקו," הוא גם לא זכר בחיים שלו תקופה שישן ככה, ",NotDescriptive
55,אתגר קרת - סוסיקו,"הוא עשה כן עם הראש, למרות שלא ממש הבין, אבל הסבתא הגדולה הסבירה: 'חלום זה בעצם רצון חזק.",NotDescriptive
56,אתגר קרת - סוסיקו,"הסבתא הגדולה שלו היתה כל-כך זקנה שכבר לא היה נעים לשאול בת כמה היא, ואם היה משהו ששנאה - זה אורחים.",NotDescriptive
57,אתגר קרת - סוסיקו,"אבל אביגדור לא היה גמד, הוא היה פוני.",NotDescriptive
58,אתגר קרת - סוסיקו,"אבל באמת, לא בטח-שאני-אוהב-אותך מגמגם, אוהב לנצח, כמו באגדות.",MightDescriptive
