;Sentence;Type
82;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  שוב  בעבודתה.;Descriptive
83;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  כרגיל  בעבודתה.;Descriptive
84;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  מעורבת  בעבודתה.;Descriptive
85;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  עדיין  בעבודתה.;Descriptive
86;חוסנה לבשה היום חולצה לבנה וחצאית שחורה, נראה שהיום היא תהיה  גם  בעבודתה.;Descriptive
87;"גופתו של אורל פרופורציונלית מאוד  יחסית  שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.";Descriptive
88;"גופתו של אורל פרופורציונלית מאוד  בערך  שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.";Descriptive
89;"גופתו של אורל פרופורציונלית מאוד  מאוד  שהוא שוקל 56 ק "" ג עם גובה 170 ס "" מ.";Descriptive
90;"גופתו של אורל פרופורציונלית מאוד מכיוון  הוא  שוקל 56 ק "" ג עם גובה 170 ס "" מ.";Descriptive
91;"גופתו של אורל פרופורציונלית מאוד מכיוון  שהוא  שוקל 56 ק "" ג עם גובה 170 ס "" מ.";Descriptive
92;"גופתו של אורל פרופורציונלית מאוד מכיוון  והוא  שוקל 56 ק "" ג עם גובה 170 ס "" מ.";Descriptive
93;"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  רק  56 ק "" ג עם גובה 170 ס "" מ.";Descriptive
94;"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  כמעט  56 ק "" ג עם גובה 170 ס "" מ.";Descriptive
95;"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  משקלו  56 ק "" ג עם גובה 170 ס "" מ.";Descriptive
96;"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  בערך  56 ק "" ג עם גובה 170 ס "" מ.";Descriptive
97;"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא  במשקל  56 ק "" ג עם גובה 170 ס "" מ.";Descriptive
98;"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  כמעט  ק "" ג עם גובה 170 ס "" מ.";Descriptive
99;"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  10  ק "" ג עם גובה 170 ס "" מ.";Descriptive
100;"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  2  ק "" ג עם גובה 170 ס "" מ.";Descriptive
101;"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  1  ק "" ג עם גובה 170 ס "" מ.";Descriptive
102;"גופתו של אורל פרופורציונלית מאוד מכיוון שהוא שוקל  40  ק "" ג עם גובה 170 ס "" מ.";Descriptive
103;לאירה  משמאל  כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.;Descriptive
104;לאירה יש כתם לידה שנמצא בחלק  התחתון  של הצוואר, כתם הלידה שחור עגול.;Descriptive
105;לאירה יש כתם לידה שנמצא בחלק  העליון  של הצוואר, כתם הלידה שחור עגול.;Descriptive
106;לאירה יש כתם לידה שנמצא בחלק  האחורי  של הצוואר, כתם הלידה שחור עגול.;Descriptive
107;לאירה יש כתם לידה שנמצא בחלק  השמאלי  של הצוואר, כתם הלידה שחור עגול.;Descriptive
108;לאירה יש כתם לידה שנמצא בחלק  הימני  של הצוואר, כתם הלידה שחור עגול.;Descriptive
109;לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  לידה  עגול.;Descriptive
110;לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  הרחם  עגול.;Descriptive
111;לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  הלבן  עגול.;Descriptive
112;לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  השחור  עגול.;Descriptive
113;לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  שלה  עגול.;Descriptive
114;לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור ! ;Descriptive
115;לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור ? ;Descriptive
116;לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור  בתמונה ;Descriptive
117;לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור  לבן ;Descriptive
118;לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור  שחור ;Descriptive
119;לאתא יש שומה על המצח, גודל  המצח  אינו כה גדול.;Descriptive
120;לאתא יש שומה על המצח, גודל  החזה  אינו כה גדול.;Descriptive
121;לאתא יש שומה על המצח, גודל  המספר  אינו כה גדול.;Descriptive
122;לאתא יש שומה על המצח, גודל  שומה  אינו כה גדול.;Descriptive
123;לאתא יש שומה על המצח, גודל  השד  אינו כה גדול.;Descriptive
124;לאתא יש שומה על המצח, גודל השומה  שלך  כה גדול.;Descriptive
125;לאתא יש שומה על המצח, גודל השומה  שלי  כה גדול.;Descriptive
126;לאתא יש שומה על המצח, גודל השומה  שומה  כה גדול.;Descriptive
127;לחמניות חמות.;Descriptive
128;דירת חדר מתקופת חרושצ'וב בבניין ישן אפור בן חמש קומות בעיר אגמים,;Descriptive
129;האדם מביט בחלון, וכמעט ולא רואה דבר;NotDescriptive
130;הקרון גדוש באנשים;Descriptive
131;משקה כהלי חזק;Descriptive
132;הוא מתעורר לרגע קט כשהאוטובוס חולף;NotDescriptive
133;מעט בו זמנית צץ לו בקרון סוחר זריז עם עטי כתיבה אוטומטיים, עטי כתיבה אוטומטיים, צועק הסוחר הזריז, עטי כתיבה, עטי כתיבה, נכנס ויוצא, יוצא ונכנס.;Descriptive
134;מלבד היער וסממנים המעידים על הנוכחות האנושית שלפרקים צצים בין העצים;Descriptive
135;אישה מבוגרת אחת אומרת לאישה המבוגרת השניה: הנה, תראי, גנבו הכל, עד הלֶבֶנָה האחרונה, רק את המשטחים השאירו.  כן-כן, עונה האישה המבוגרת השניה לאישה המבוגרת הראשונה.;NotDescriptive
136;שוב נרדם ומתעורר סופית רק לקראת הכניסה לפיסגובו;NotDescriptive
137;"בכניסה לתחנת ""שִרְיוֺנִיצִי"" האדם רואה בניין רעוע להחריד, בנוי מלבנים אדומות.
";Descriptive
138;בניין מודרני יפה ועגול הצבוע בגוון כחול-אפור.;Descriptive
139;האדם רואה יער.;NotDescriptive
140;כעשרה לקטים יורדים בה ומעמיקים לתוך היער.;Descriptive
141;"יערות ותחנות ביניים זערוריות של מסילת ""אגמים – גלותין""";Descriptive
142;כשהאוטובוס פונה מנתיב סובב מוסקבה לדרך ריאזאן;Descriptive
143;"האדם רואה אסופת מוניות שירות לבנות על יד תחנת ""שריוניצי"".";Descriptive
144;"האדם רואה רק יער, אך כעבור זמן מה לצד תחנת ביניים ""שִמְעוֺנוֺבְסְקִי"" נראים גם כמה בתים";Descriptive
145;ברנש עליז,;Descriptive
146;לו היה מעשן ― היה לבטח מדליק סיגריה, כפי שנהוג בקרב מעשנים כשהם שקועים בהרהורים.;NotDescriptive
147;"תחנת ""שריוניצי"" ממוקמת הרחק למדי מהעיר שריוניצי, כשניים-עשר קילומטרים מעברו השני של נהר מוסקבה, מוניות השירות הלבנות האלו מסיעות אנשים מהעיר שריוניצי לתחנת ""שריוניצי"" וחוזר חלילה.";Descriptive
148;כנסייה גבוהה ויפה של שריוניצי ;Descriptive
149;"פקח-ברנש תולה באדם מבט שואל, האדם אומר: ""אגמים"", פקח-ברנש אומר: ארבעים ותשע וחצי, האדם מושיט לפקח-ברנש חמישים רובל, פקח-ברנש מחזיר לאדם חמישים קופייקי";NotDescriptive
150;מגרש ריק גדול שבשטחו, ככל הנראה, היה פעם מפעל או מחסן;Descriptive
151;מעבר תת-קרקעי מתחת לפסי הרכבת;Descriptive
152;אך האדם אינו נמנה עם המעשנים, ולכן הוא לא מעשן, אלא פשוט מביט בחלון הפתוח;NotDescriptive
153;"בוטקה קטן ירוק עם שלט ""מעבר 58""";Descriptive
154;על הקרקע ניתן להבחין בשרידי מסד לֶבֶנִים ובמשטחי עץ ספוגי מים הנערמים מסביב.;Descriptive
155;האדם חש כמעט בטוב. ;NotDescriptive
156;חיוך אווילי קמעה מתפשט על פניו;Descriptive
157;"אסופת מוסכים משונים על יד רציף ""אגם-לָבָנְסְקִי""";Descriptive
158;שמיים שחשכו כמעט לגמרי;Descriptive
159;ניתן היה להגיע לאגמים בדרך פשוטה בהרבה — באוטובוס מפיסגובו, אך משום מה האדם מעדיף את הדרך הזאת: תחילה לגלותין ולאחר מכן;NotDescriptive
160;פיסת נייר עם אותיות ומספרים מודפסים וכתובים בכתב יד;Descriptive
161;אורות הרחוקים של העיר ליוברצי;Descriptive
162;לכאורה, אין לו שום סיבה לחייך: גרר את עצמו לחור נידח, בזבז המון זמן, ירד על בקבוק כמעט שלם של וודקה, וכו'.  בִמקום ש…  כאילו…;NotDescriptive
163;המוסכים הגוציים לא מתגודדים, בניגוד לנהוג בקרב המוסכים בשטחה של הפדרציה רוסית, אלא מתבודדים זה בקרבתו של זה.;Descriptive
164;"תחנת ביניים ""קילומטר 18"", יער, בתים.  ושוב לקטים יורדים מן הרכבת";Descriptive
165;האדם עובר את בניין ההנהלה המחוזית, חוצה את כיכר הסובייטים, ברחוב לנין הוא חולף על יד בתי עץ ישנים;Descriptive
166;עם אותו החיוך הוא סוגר את החלון, מכבה את האור במטבח, הולך לחדרו, נשכב על המיטה ושוקע, מה שנרקא, בשנת צדיקים.;NotDescriptive
167;ל פתח המוסכים מובילות כמה מדרגות, מעניין מה יש בתוכם, בתוך המוסכים, ואילו אמצעי תחבורה מצריכים מדרגות בכדי להיכנס למוסך ולצאת ממנו. ;Descriptive
168;"בקתות של מלאכובקה, במוסכים המשונים של אגם-לבנסקי, בשדות רחבי הידיים של שוחט-סוסובו, ברכבת הדיזל דמויית ""ספסן"" בזעיר-ענפין, בתחנות הביניים הקטנות בלב היער";Descriptive
169;"האדם חוצה את רחוב לנין, חולף על יד מכולת ""בואו נהיה חברים"", פונה לסמטת השדה השמינית, ניגש לבית מס' 4, בניין אפור בן חמש קומות, נכנס באחת הכניסות, עולה לאחת הקומות, מצלצל בפעמון של אחת הדירות";Descriptive
170;מסילה צרה היוצאת מיער עבות;Descriptive
171;"כשאדם הולך לעבודה כל יום ביומו לא נותר לו זמן לתסכול, לשממון ולעצב, אך לרשותו של אדם מסויים זה עומד די והותר זמן לתסכול, לשממון ולעצב; ייתכן גם וכבר פרש לגמלאות או, להיפך, טרם הגיע לגיל שבו אנשים נאלצים ללכת לעבודה יום-יום";NotDescriptive
172;"מרחבים ציוריים, הנפרשים מימינה של מסילת הרכבת על יד תחנת ""שוֺחֵט-סוּסוֺבוּ"".";Descriptive
173;לקטי פטריות מרחיקים אל תוך היער, ותושבים ומבקרים משתרכים יחדיו לכיוון הכפר מתולתלובו.;Descriptive
174;חברו של האדם פותח לו את הדלת.;NotDescriptive
175;כיפה שטוחה של הר מרוחק.;Descriptive
176;או שמא יש לו מגבלות פיזיות כלשהן;NotDescriptive
177;רק בתחתונים ובגופיה;Descriptive
178;נוסעים רבים יורדים מרכבת הדיזל.;Descriptive
179;ייתכן גם ונמצא ברשותו מקור פרנסה קבוע;NotDescriptive
180;ההר אדמדם למחצה ושלגי למחצה.;Descriptive
181;"בסביבה של תחנת הביניים ""דניאלובסקאיה"" לא נראה דבר מלבד היער.";Descriptive
182;"כמו שאומרים, ללא סימני היכר מיוחדים, ואין טעם להרחיב עליו את הדיבור.";NotDescriptive
183;ארובות מרובות הפולטות עשן תעשייתי;Descriptive
184;ו, לחילופין, הוא משכיר דירה או מתקיים מריבית של השקעה בנקאית דשנה או שקרובי משפחה עשירים תומכים בו, מי יודע?;NotDescriptive
185;אפשר פשוט להתיישב בנחת, להרפות, לעצום עיניים, לנשום עמוק ולומר בלב כמה פעמים;NotDescriptive
186;חרבות של מבנה לבנים.;Descriptive
187;בקיצור, עצוב לו, הוא משועמם ומתוסכל.;NotDescriptive
188;"לקו המושלג של הר ענק שטוח הכיפה באזור הרציף ""קילומטר 88"" קשור באופן כלשהו לתעשייה הכימית באזור תחנת ""תְחִיֵיתֵבְסְק""";Descriptive
189;מסילה שזורת עשבים מובילה אל תוך יער עבות.;Descriptive
190;דמותה של הדירה תזרח לכם בראש באור חולני ותיחרט בזכרונכם עד סוף ימיכם;NotDescriptive
191;"אגם זערורי על יד תחנת ""החולות""";Descriptive
192;כשזה המצב, ניתן לעשות לא מעט דברים.;NotDescriptive
193;שיחתם מורכבת בעיקר משתיקות וממילים טוב יאללה;NotDescriptive
194;כמעט ולא נותרו נוסעים ברכבת.;Descriptive
195;משל, אפשר ללכת לסרט או לצפות במשחק כדורגל או בכל משחק אחר, לפגוש חברים, לצאת לטיול רגלי ממושך, לקרוא ספר מרתק, לשחק במשחקי מחשב, ליטול חומרים פסיכואקטיביים, להתמסר לתחביב אווילי, כגון ניסור או צריבה בעץ, חריטה, או פשוט להעביר ערוצים בטלוויזיה — כלומר, לא חסרות אפשרויות להתמודד עם תסכול ועם שממון.;NotDescriptive
196;האגם מוצף כולו בטינופת מסתורית בצבע ירוק זוהר. ;Descriptive
197;רכבת הדיזל מאיצה ובמשך זמן מה דוהרת  ללא עצירה דרך היערות;Descriptive
198;, אבל גם מילים אחרות נשמעות מדי פעם;NotDescriptive
199;יש ימים בהם האדם חי לו את חייו ולפתע משתלטת עליו תוגה.;NotDescriptive
200;"כנסיית עץ קטנה שעל יד הרציף ""חורשת סוס""";Descriptive
201;"מקרה הנוכחי בוחר האדם באפשרות הרביעית מן הרשימה לעיל: ""לפגוש חברים"", או, ליתר דיוק, לא בלשון רבים אלא בשלון יחיד, דהיינו, ""לפגוש חבר"". ";NotDescriptive
202;האדם וחברו של האדם דנים בנסיבות החיים זה של זה.;NotDescriptive
203;הוא משועמם, הוא לא מוצא את מקומו ונמלא תזזית חסרת תועלת;NotDescriptive
204;מבנה הקשור בדרך כלשהי לתשתית חשמל;Descriptive
205;"נהוג להשתמש גם בניסוח מעט שונה: ""לבקר חבר"".";NotDescriptive
206;הכנסיות והבתים של קולומנה העתיקה;Descriptive
207;זהו אחד מפרברי העיר אגמים.;Descriptive
208; אז איך אתה;NotDescriptive
209;ייתכן ואיבד את פרנסתו, ייתכן וכלל לא הייתה לו עבודה, וכעת אינו מצליח להעסיק את עצמו.;NotDescriptive
210;"חשמלית ירוקה-בוהקת על מסילת הכיכר על יד הרציף ""קולומנה""";Descriptive
211;אכן, לבקר חבר;NotDescriptive
212;איך בעבודה;NotDescriptive
213;או, שמא טיב עבודתו מותיר לו פרקי זמן ממושכים דיים לשעמום ולתזזית.;NotDescriptive
214;לאורך המסילה פזורה אבקה לבנה מגעילה.;Descriptive
215;לבקר חבר.;NotDescriptive
216;"הרכבת החשמלית, עם האדם בתוכה, מגיעה לתחנת ""גלותין"". ";Descriptive
217;רכבת הדיזל עוצרת על יד תחנת עץ ירוקה.;Descriptive
218;אדם וחברו של האדם דנים בנסיבות החיים של המכרים המשותפים.;NotDescriptive
219;"רציף לא הומה מדי, רכבת בינעירונית ""מוסקבה―גלותין"" מגיעה";Descriptive
220;רציף קצר ביותר;Descriptive
221;האדם יודע מראש, כי לא יהיה זה בילוי נעים ומשמח, הפגישה עם החבר לא תבדר אותו ולא תהיה מעניינת במיוחד, סביר גם להניח כי היא לא תפיג תסכול ושממון, ההיפך, היא עלולה אף להעצים אותם, אך חייבים לפעול בכל זאת, לפחות לעשות משהו, מה שזה לא יהיה.  צריך לפגוש חבר.;NotDescriptive
222;מה שלום סרגיי.;NotDescriptive
223;הרכבת יוצאת לדרך, האדם בוהה בחלון;Descriptive
224;ברכבת הדיזל היערית האיטית.;Descriptive
225;ברו של האדם מתגורר לא רחוק, אבל גם לא קרוב במיוחד.;NotDescriptive
226;"על יד רציף מס' 3 עומדת רכבת דיזל קטנה, חדשנית ויפה המורכבת משלושה קרונות הדומה במקצת לרכבת מהירה מסוג ""סָפְסָאן"".";Descriptive
227;ברחוב פְרוּנְזֶה השקט וכמעט ריק;Descriptive
228;נראה לי.;NotDescriptive
229;"רכבת דיזל זו נוסעת מ""גלותין"" ל""אגמים"" במסילה משנית המתפצלת מתוואי המסילה הראשי לכיוון רְיאָזָאן.";Descriptive
230;אין אפשרות להגיע אליו ברגל, ברכבת התחתית או בכל אמצעי אחר של תחבורה ציבורית נפוצה.;NotDescriptive
231;מיכאליץ' מת;NotDescriptive
232;"קרונות כחולים של הרכבת התחתית העומדים על המסילות הרזרביות של תחנת שירות ""פיסגובו"".";Descriptive
233;האיש גורר עגלה עם שק לבן גדול.;Descriptive
234;עם זאת, ניתן לנסוע אליו בסוג נוסף של התחבורה, ציבורית אף היא, בינעירונית.;NotDescriptive
235;הקרון מצוייד במושבים נוחים, מסכי מידע דיגיטליים מנצנצים מעל הדלתות;Descriptive
236;בתי עץ ישנים,;Descriptive
237; באמת, למה, ממה;NotDescriptive
